"code";"x";"y";"num_regime";"hydro_regime"
"K613000100";"618294.7683";"6636371.957";"2";"PC"
"K614031000";"620044.6";"6641406.6";"2";"PC"
"K615000100";"613235.7161";"6640544.314";"4";"PTC"
"K617313001";"626124.5799";"6656651.196";"1";"P"
"K618000100";"623542.9861";"6672206.644";"1";"P"
"K619242001";"626286.932";"6676034.755";"1";"P"
"K620090010";"614677.5574";"6685824.66";"2";"PC"
"K622091003";"591008.6775";"6687421.733";"2";"PC"
"K633252001";"644229.5151";"6718452.955";"4";"PTC"
"K633401001";"657550.9369";"6710246.994";"1";"P"
"K633401201";"647925.7472";"6718322.328";"1";"P"
"K637302001";"647716.8236";"6705333.201";"4";"PTC"
"K640250011";"627112.4009";"6703007.773";"1";"P"
"K640252001";"627013.3147";"6703108.843";"1";"P"
"K642000100";"623076.9501";"6698747.694";"1";"P"
"K645301001";"628738.2106";"6694300.872";"1";"P"
"K646000100";"612011.8093";"6698129.107";"1";"P"
"K648251001";"599640.0664";"6691946.228";"1";"P"
"K649251001";"589318.4066";"6688434.783";"1";"P"
"K649251100";"593403.7318";"6694694.75";"1";"P"
"K650091001";"585706.332";"6686666.268";"1";"P"
"K652000201";"605839.997";"6678995.936";"1";"P"
"K652030000";"600681.6";"6682057.6";"1";"P"
"K653000100";"601698.3463";"6664890.075";"1";"P"
"K654031000";"599924.2";"6680744.9";"1";"P"
"K658032000";"598010.6";"6680862.8";"1";"P"
"K659300010";"595653.1085";"6681187.59";"1";"P"
"K659302001";"585397.4063";"6685569.667";"1";"P"
"K661009000";"577207.5";"6687003";"2";"PC"
"K671091001";"524858.0735";"6699463.402";"1";"P"
"K672000201";"514746.3462";"6697149.026";"2";"PC"
"K681400000";"499246.3";"6696003.3";"1";"P"
"K683002001";"504030.18";"6694240.028";"2";"PC"
"K683002101";"490077.8336";"6686661.226";"2";"PC"
"K702026000";"624957.4";"6606174.5";"2";"PC"
"K702260010";"627839.7832";"6598982.148";"2";"PC"
"K702262001";"621751.4975";"6611722.875";"2";"PC"
"K714301001";"616079.8828";"6614568.416";"1";"P"
"K715261010";"614021.0012";"6619281.886";"2";"PC"
"K720261001";"610692.4797";"6627502.901";"2";"PC"
"K720751001";"600088.5171";"6637983.672";"4";"PTC"
"K721261010";"599768.7371";"6635588.227";"2";"PC"
"K721751202";"590729.9069";"6642058.393";"1";"P"
"K722261011";"579351";"6645529";"2";"PC"
"K730000100";"564419.0197";"6651959.19";"1";"P"
"K731261001";"557697.8419";"6659120.722";"2";"PC"
"K731262010";"561667.8686";"6655890.451";"2";"PC"
"K732261001";"549785.1403";"6668879.448";"2";"PC"
"K741301010";"563518.6971";"6674161.066";"1";"P"
"K741401001";"566706";"6672115";"4";"PTC"
"K742000201";"564544.501";"6677349.793";"4";"PTC"
"K743303001";"555850.0013";"6677222.319";"4";"PTC"
"K743303201";"561228.918";"6675179.061";"1";"P"
"K750261010";"536352.4478";"6687776.914";"2";"PC"
"K751401001";"535032.7672";"6685289.429";"1";"P"
"K752262010";"520675.2018";"6689105.816";"2";"PC"
"K754000501";"499899.5975";"6690177.276";"2";"PC"
"L001061101";"621812.4462";"6511606.675";"2";"PC"
"L005063001";"602270.3";"6516466.361";"2";"PC"
"L009302001";"588591.6017";"6517579.441";"4";"PTC"
"L009302002";"587609.2268";"6519585.892";"4";"PTC"
"L011030000";"607227.6";"6528368.2";"2";"PC"
"L012303001";"604343.5817";"6525441.175";"1";"P"
"L014061001";"576130.978";"6532970.102";"4";"PTC"
"L020151001";"618591.303";"6532615.344";"2";"PC"
"L023151001";"610699.8941";"6544770.985";"2";"PC"
"L030000101";"592618.2939";"6545121.943";"1";"P"
"L030015000";"589022.8";"6541466.1";"1";"P"
"L031401001";"589882.4183";"6540548.728";"1";"P"
"L032151001";"576950.2275";"6535361.199";"4";"PTC"
